Time,Anomaly (deg C)
1869-06,-0.38451383
1869-07,-0.41707024
1869-08,-0.16793925
1869-09,-0.17162752
1869-10,-0.2934824
1869-11,-0.2818132
1869-12,-0.5365831
1870-01,-0.21106681
1870-02,-0.4548541
1870-03,-0.4983347
1870-04,-0.33294046
1870-05,-0.2977442
1870-06,-0.23123583
1870-07,-0.073357955
1870-08,-0.2582274
1870-09,-0.2023172
1870-10,-0.44285795
1870-11,-0.2658218
1870-12,-0.6663718
1871-01,-0.55831134
1871-02,-0.6721459
1871-03,-0.17089234
1871-04,-0.22192766
1871-05,-0.36220172
1871-06,-0.2864155
1871-07,-0.082433164
1871-08,-0.32236677
1871-09,-0.36107233
1871-10,-0.37327537
1871-11,-0.5226968
1871-12,-0.48901418
1872-01,-0.59878874
1872-02,-0.6208213
1872-03,-0.52365935
1872-04,-0.3854148
1872-05,-0.14151993
1872-06,-0.27941555
1872-07,-0.14631678
1872-08,0.008637112
1872-09,-0.17648244
1872-10,-0.2035192
1872-11,-0.32202852
1872-12,-0.5479975
1873-01,-0.26165044
1873-02,-0.28250718
1873-03,-0.4087238
1873-04,-0.4805553
1873-05,-0.35092077
1873-06,-0.32054913
1873-07,-0.17570111
1873-08,-0.22783396
1873-09,-0.40525547
1873-10,-0.3906487
1873-11,-0.46331128
1873-12,-0.3279057
1874-01,-0.19854628
1874-02,-0.43842116
1874-03,-0.6729315
1874-04,-0.4370358
1874-05,-0.33399135
1874-06,-0.56584716
1874-07,-0.16706698
1874-08,-0.2960711
1874-09,-0.16819394
1874-10,-0.47115755
1874-11,-0.41774487
1874-12,-0.31200656
1875-01,-0.5711182
1875-02,-0.4792721
1875-03,-0.56430274
1875-04,-0.35805592
1875-05,-0.2728362
1875-06,-0.27996176
1875-07,-0.18206008
1875-08,-0.24648568
1875-09,-0.23427878
1875-10,-0.23321441
1875-11,-0.50920546
1875-12,-0.57672006
1876-01,-0.51370406
1876-02,-0.33739862
1876-03,-0.36232424
1876-04,-0.42427668
1876-05,-0.5904251
1876-06,-0.35227904
1876-07,-0.21372749
1876-08,-0.32724735
1876-09,-0.41784137
1876-10,-0.29983562
1876-11,-0.60684675
1876-12,-0.64341265
1877-01,-0.41108242
1877-02,-0.20926146
1877-03,-0.091358565
1877-04,-0.34591714
1877-05,-0.41127658
1877-06,-0.13819988
1877-07,-0.016253214
1877-08,0.21073052
1877-09,0.10758122
1877-10,0.11331653
1877-11,0.03397783
1877-12,-0.05556291
1878-01,-0.06979711
1878-02,0.22940955
1878-03,0.36132926
1878-04,0.18853737
1878-05,-0.122401364
1878-06,0.010291125
1878-07,-0.0772364
1878-08,-0.04655335
1878-09,0.020835022
1878-10,-0.1650159
1878-11,-0.14255811
1878-12,-0.3226224
1879-01,-0.23778471
1879-02,-0.26602048
1879-03,-0.2583884
1879-04,-0.38240048
1879-05,-0.3438711
1879-06,-0.28325993
1879-07,-0.2641225
1879-08,-0.26534295
1879-09,-0.23556925
1879-10,-0.15905875
1879-11,-0.397338
1879-12,-0.55045533
1880-01,-0.39386344
1880-02,-0.4498936
1880-03,-0.19438674
1880-04,-0.33803287
1880-05,-0.32535022
1880-06,-0.38053036
1880-07,-0.3148068
1880-08,-0.10718303
1880-09,-0.29703382
1880-10,-0.39094922
1880-11,-0.28068957
1880-12,-0.3172651
1881-01,-0.21463032
1881-02,-0.22458804
1881-03,-0.24820606
1881-04,-0.06252021
1881-05,-0.121898524
1881-06,-0.39908272
1881-07,-0.19404487
1881-08,-0.13816847
1881-09,-0.3007603
1881-10,-0.2305081
1881-11,-0.38121367
1881-12,-0.27132502
1882-01,-0.025385773
1882-02,-0.11726177
1882-03,-0.17708035
1882-04,-0.31474158
1882-05,-0.32572997
1882-06,-0.39225483
1882-07,-0.34102684
1882-08,-0.24510053
1882-09,-0.15044588
1882-10,-0.3990836
